site_id,bs_id,scenario,sector_az_deg,lat,lon,total_MHz,used_MHz,util_pct,attached_users,demand_Mbps,served_Mbps
83,249,UMI,30.0,43.63649,-79.44435,100.0,35.023,35.0,282,122.07,122.07
83,250,UMI,150.0,43.63649,-79.44435,100.0,16.311,16.3,138,54.35,54.35
83,251,UMI,270.0,43.63649,-79.44435,100.0,24.12,24.1,133,57.71,57.71
84,252,UMI,30.0,43.63649,-79.43798,100.0,53.345,53.3,424,169.64,169.64
84,253,UMI,150.0,43.63649,-79.43798,100.0,38.436,38.4,290,114.27,114.27
84,254,UMI,270.0,43.63649,-79.43798,100.0,40.092,40.1,325,114.1,114.1
85,255,UMI,30.0,43.63649,-79.43161,100.0,67.23,67.2,418,166.81,166.81
85,256,UMI,150.0,43.63649,-79.43161,100.0,56.222,56.2,368,138.2,138.2
85,257,UMI,270.0,43.63649,-79.43161,100.0,63.706,63.7,376,135.49,135.49
86,258,UMI,30.0,43.63649,-79.42523,100.0,67.264,67.3,323,121.77,121.77
86,259,UMI,150.0,43.63649,-79.42523,100.0,68.365,68.4,342,132.24,132.24
86,260,UMI,270.0,43.63649,-79.42523,100.0,64.615,64.6,386,159.55,159.55
87,261,UMI,30.0,43.63649,-79.41886,100.0,92.739,92.7,309,118.44,118.44
87,262,UMI,150.0,43.63649,-79.41886,100.0,59.05,59.0,261,97.62,97.62
87,263,UMI,270.0,43.63649,-79.41886,100.0,67.753,67.8,316,129.56,129.56
88,264,UMI,30.0,43.63649,-79.41249,100.0,69.173,69.2,153,63.9,63.9
88,265,UMI,150.0,43.63649,-79.41249,100.0,55.616,55.6,201,81.66,81.66
88,266,UMI,270.0,43.63649,-79.41249,100.0,86.172,86.2,237,82.01,82.01
89,267,UMI,30.0,43.63649,-79.40612,100.0,45.801,45.8,180,69.18,69.18
89,268,UMI,150.0,43.63649,-79.40612,100.0,30.498,30.5,140,46.2,46.2
89,269,UMI,270.0,43.63649,-79.40612,100.0,49.414,49.4,124,48.03,48.03
90,270,UMI,30.0,43.63649,-79.39974,100.0,30.545,30.5,202,73.22,73.22
90,271,UMI,150.0,43.63649,-79.39974,100.0,30.61,30.6,156,66.73,66.73
90,272,UMI,270.0,43.63649,-79.39974,100.0,44.099,44.1,209,79.63,79.63
91,273,UMI,30.0,43.63649,-79.39337,100.0,16.414,16.4,129,51.74,51.74
91,274,UMI,150.0,43.63649,-79.39337,100.0,14.181,14.2,79,37.88,37.88
91,275,UMI,270.0,43.63649,-79.39337,100.0,17.906,17.9,132,46.72,46.72
92,276,UMI,30.0,43.63649,-79.387,100.0,10.856,10.9,85,36.27,36.27
92,277,UMI,150.0,43.63649,-79.387,100.0,4.916,4.9,36,15.81,15.81
92,278,UMI,270.0,43.63649,-79.387,100.0,8.447,8.4,75,29.2,29.2
93,279,UMI,30.0,43.63649,-79.38062,100.0,8.937,8.9,58,25.53,25.53
93,280,UMI,150.0,43.63649,-79.38062,100.0,7.265,7.3,43,17.17,17.17
93,281,UMI,270.0,43.63649,-79.38062,100.0,8.248,8.2,72,28.11,28.11
94,282,UMI,30.0,43.63649,-79.34876,100.0,10.424,10.4,42,12.6,12.6
94,283,UMI,150.0,43.63649,-79.34876,100.0,8.4,8.4,33,13.86,13.86
94,284,UMI,270.0,43.63649,-79.34876,100.0,14.547,14.5,30,12.97,12.97
95,285,UMI,30.0,43.64048,-79.4794,100.0,99.918,99.9,261,107.68,107.65
95,286,UMI,150.0,43.64048,-79.4794,100.0,43.305,43.3,143,54.26,54.26
95,287,UMI,270.0,43.64048,-79.4794,100.0,12.497,12.5,45,18.5,18.5
96,288,UMI,30.0,43.64048,-79.47303,100.0,30.096,30.1,53,16.84,16.84
96,289,UMI,150.0,43.64048,-79.47303,100.0,42.584,42.6,111,36.57,36.57
96,290,UMI,270.0,43.64048,-79.47303,100.0,80.823,80.8,167,69.12,69.12
97,291,UMI,30.0,43.64048,-79.46666,100.0,22.772,22.8,60,22.04,22.04
97,292,UMI,150.0,43.64048,-79.46666,100.0,15.197,15.2,50,16.08,16.08
97,293,UMI,270.0,43.64048,-79.46666,100.0,12.79,12.8,25,10.71,10.71
98,294,UMI,30.0,43.64048,-79.46028,100.0,20.641,20.6,96,40.26,40.26
98,295,UMI,150.0,43.64048,-79.46028,100.0,21.583,21.6,66,27.91,27.91
98,296,UMI,270.0,43.64048,-79.46028,100.0,9.345,9.3,65,18.5,18.5
99,297,UMI,30.0,43.64048,-79.45391,100.0,48.629,48.6,350,139.5,139.5
